"HolderAddress","Balance","PendingBalanceUpdate"
"0x0b05f01cd3637060ad184ea0bd48b24a0e99ba4e","15,473,532.2002","No"
"0x49a8ab7652614061272932cbbb2d220ded9a6c6c","15,432,363.15","No"
"0xba3e425b2e504d193dc0ab1c7a21d09c2b662e72","15,382,525.2805","No"
"0xe98659a8b97f96b3e915ffc0c06f8a3a58168ba0","15,275,624.1028423","No"
"0xabea95a3bcd2f72c3aed6a7a6263e047375ec861","15,206,612.9739","No"
"0xb817797d755a9249e1a99238bf0cdac7f762ecf6","15,150,000","No"
"0x50972a7e1869fcab17e728d0aa0739f0c141d5d4","15,147,304.3782","No"
"0x173fa166218243e022db7273a3cf1c8421b3c625","15,005,614.60465277","No"
"0x7be22b70b505bc9e9c4b4e2ddca9624b52165705","15,000,000","No"
"0xdae039e51a0d0eca5c9eb88e5f560ef6037cbf61","14,975,903.554","No"
"0x4d4e1b4b15fd29130f7672b0792a5c1daef743f8","14,960,003.31","No"
"0x01b7d19c271ad2ac56be66ad82d0ef1c27265a92","14,930,000.6508","No"
"0x3bacd6390a0bdcc85bcdb2cfa3aecd1fd62b412a","14,781,591.74","No"
"0x036444c42b9ff4aedc55d2dfa87b37fe94c0c5a9","14,750,549.97","No"
"0x5de047371f414ea2acee5361c07e36dd6f2deadc","14,742,942.24","No"
"0x5850197edadd9ed383dda98cec6ae167da9e7025","14,705,595.96511088","No"
"0x314a8ec464d20ef43251e9004465b69ac2dadadf","14,652,014.65","No"
"0x5b4e685016015605f31db524eaff277ec98b1fd5","14,563,550.6456","No"
"0xb66aa92d1d3a6d40fc763955bb8310d6450ed82c","14,425,372.6712","No"
"0x9c29ac54960e8ffbfee2fcf2aca6ecd3a9214cb4","14,327,433.12621428","No"
"0x5e654fab3a8dab6ef4f0da5c7e3458af3cd4b794","13,838,327.47944828","No"
"0x1634dc734782bed74a9b09bc258b76019095787c","13,820,552.4","No"
"0x4755f5549f70fa8c48f0a13c3e9d1564d465b7f7","13,804,843.44644453","No"
"0x053c69fa3e22ea9d0d4dbd7a193416ad1e54f10c","13,802,377.49263408","No"
"0xc8ff8c9859e72bca6dcb14195da0518cd04fe44b","13,612,403.997","No"
